"realSum" "room" "capacity" "bedrooms" "dist" "metro" "attr" "rest" "lng" "lat" "host" "cleanliness" "satisfaction"
234,574555339442 2 2 1 2,47889707314405 1,33344222588295 172,83091844721 215,363959437944 4,85743 52,37769 1 9 8,8
227,310008670588 2 2 1 6,05896851366757 1,74814588483419 77,9493658665829 96,9762183275063 4,80823 52,3569 0 9 9,4
489,302369179575 2 2 1 0,792250991641073 0,733846641708916 362,754750680974 522,436684261532 4,88958 52,38002 1 10 9,1
410,564056897804 2 2 1 0,925002469962214 0,781812629671959 327,095992137665 478,7159080093 4,88956 52,38126 1 8 8
987,040986103625 1 4 2 5,90206620315863 1,94054505297369 78,7572723616152 97,7566726818306 4,80772 52,36412 0 10 9,7
217,702059850491 2 2 1 7,01789380641548 0,218242194037177 68,8550686893767 86,8980728206782 4,94459 52,3186 0 10 9,3
946,500128887118 1 4 2 0,374285412877626 0,167833313030117 1375,92383911727 743,14996256441 4,89855 52,37279 0 10 9,8
1557,42506971621 1 4 2 0,750400684654726 0,808689009062205 834,237866532095 603,655756407116 4,88228 52,37451 0 9 9,8
317,062311063202 2 2 1 3,40089425032456 1,51265819972575 112,415561497013 140,57806177167 4,91 52,402 0 10 9,9
594,521125770393 1 4 3 10,0589484552076 0,220248292053868 46,1175750257218 57,5701766847325 4,97192 52,29679 0 10 9,7
1290,51156468962 1 4 2 0,728649652287921 0,448982950123367 494,653233438196 827,653347855601 4,89511 52,3668 0 10 9,6
1043,51697794859 1 4 2 2,84656631104351 0,726771616942892 209,032514652765 275,860970120451 4,89647 52,34773 0 9 9,6
1044,68867902421 1 2 1 3,00304405670342 1,63445704293191 146,790387154677 189,399621344834 4,93297 52,3617 0 10 9,8
310,969465469969 1 2 1 3,57139950091775 2,61973981313992 118,862675693154 151,681519947007 4,94479 52,3678 0 9 9,4
295,26867105664 1 2 1 4,66543718975295 2,97748132566682 84,3449082768294 105,922898559893 4,89443 52,41516 0 9 9,2
414,313500339793 1 2 1 2,3743995932826 0,36291653648327 222,183037600526 292,256574048695 4,90681 52,35361 1 10 9,3
307,22002202798 1 2 0 4,1570495481248 0,101229387696245 118,848679497025 151,479190064376 4,91979 52,33963 0 7 8,2
3005,41325896937 1 4 4 1,61532470574009 1,40256120334721 216,665575387372 283,611972212384 4,88478 52,38683 0 9 9,5
539,451175216179 1 2 1 3,78132149485937 0,920247008206228 138,154147674258 173,638740175611 4,90733 52,34038 0 10 9,8
491,645771330818 1 3 1 2,31894984562184 0,129231479013284 315,0730020638 413,615301290201 4,8905 52,35245 0 10 9,8
1376,74876385537 1 4 2 1,93070171163266 1,58582760376272 185,070235543266 248,416326223536 4,88707 52,39019 2 10 9,3
415,485201415415 1 4 1 5,03921264666132 1,73047353548621 78,4956854402988 97,6333939660005 4,92022 52,41538 1 10 9,8
467,040048742765 1 2 1 1,97469108558677 0,227901437870357 436,827755250784 498,804253005535 4,89185 52,3555 0 10 9,7
630,375178684414 1 4 2 7,821224885989 0,350205131263562 58,3616434885393 72,9482388238122 4,97726 52,32542 0 10 9,9
251,915731258641 2 2 1 3,59923528054705 2,46004965134689 115,399851703474 143,568990836932 4,94593 52,37431 0 10 9,5
405,877252595318 2 2 1 1,49933861161542 0,231513300821196 321,44032580506 395,460461596942 4,90441 52,36167 0 10 9,7
264,33576266023 2 2 0 3,71667060732251 1,55696273452472 103,661734326777 129,692082196595 4,91 52,405 0 10 9,7
897,054343495887 1 2 1 1,81052522532584 0,520318068073653 397,772747162673 440,021621276663 4,89575 52,35704 0 10 10
295,034330841516 2 2 1 0,653967424742484 0,351070816944725 400,548420175605 659,893521010466 4,89496 52,379 0 9 9
467,040048742765 1 2 1 1,4071066505987 1,38140391255314 310,10784193694 409,417071971929 4,87254 52,37197 0 10 9,7
744,733203665081 1 2 0 2,67806710227716 1,84411021159412 219,394984046889 268,471110085826 4,86068 52,35961 0 10 9,2
275,349752771073 2 2 1 2,06159030519053 1,55818863019268 307,315334156506 339,996805354521 4,8684 52,36252 1 10 9,4
568,978042321843 2 4 2 1,7922240119478 1,87486052614934 225,480017114497 277,362606956954 4,86873 52,37932 1 10 9,7
424,155789375015 1 2 1 3,34262861025434 0,647111912630888 156,64553978764 199,27991043847 4,90867 52,34474 0 10 9,7
675,837180418532 1 2 1 1,22657455856837 0,487345110350032 413,530189517848 546,841121238238 4,89768 52,36257 0 10 9,7
909,474374897476 1 4 2 2,6186894385817 0,430812395257234 253,50632360999 323,282887131036 4,89072 52,34974 1 10 9,8
264,101422445106 2 2 1 2,85095042299861 1,07203293553125 147,956436285316 189,044494439572 4,85345 52,38147 0 10 9,8
196,611440489302 2 2 1 10,7234953491253 0,45455577477829 42,6451966195407 53,0360766234245 4,99394 52,29924 1 10 9,7
700,442903006585 1 4 2 4,93449074767349 1,01423242097232 92,0458676252126 114,365532961061 4,82065 52,37422 0 9 9,7
307,22002202798 2 2 1 3,81629431238274 2,64239342115535 108,995476561832 135,99915246211 4,94913 52,37407 0 10 9,9
675,837180418532 1 2 1 3,37210751935109 2,13869200141866 128,527180298566 180,494393487279 4,9399 52,36333 0 10 9,4
516,251493918871 1 3 1 3,14129484488962 2,27046124625593 134,325929273954 168,930333527944 4,93871 52,369 0 9 9,7
496,801256063553 1 2 1 1,58414503545617 1,19783621446772 217,958987369557 284,541320653991 4,89046 52,38738 0 10 9,8
442,668666369836 1 2 1 1,68092768037289 0,204165392930561 274,337484911365 330,597071953139 4,91029 52,36239 0 10 10
1155,53160077801 1 4 2 2,42574257770232 0,236393382253905 292,345148089344 376,823095419826 4,89004 52,35151 0 10 9,8
1473,76561291683 1 4 3 1,24753765902455 0,93953690815847 263,359801505405 352,203510288965 4,89025 52,38431 0 10 9,9
780,352916363977 1 2 1 2,87036033635519 0,669930586165032 220,716992100741 279,154912048671 4,89006 52,3475 0 10 10
